run	K	evid
728	2	6649.856348856945
67	2	6649.856349163421
439	2	6649.856350819036
505	2	6649.856351305458
894	2	6649.856352270441
516	2	6649.856353388637
420	2	6649.85635426683
835	2	6649.856354787513
52	2	6649.856359277788
746	2	6649.856359590585
18	2	6649.856361100543
826	2	6649.856361714704
520	2	6649.856365199715
13	2	6649.856365734218
37	2	6649.856369057577
547	2	6649.856370171869
863	2	6649.85637120086
633	2	6649.8563729218895
924	2	6649.8563736172655
881	2	6649.856374791781
540	2	6649.856377673765
963	2	6649.856381729172
779	2	6649.856386081816
676	2	6649.856396387225
857	2	6649.856409458162
213	2	6649.856416116155
615	2	6649.856416375367
950	2	6649.856419355077
106	2	6649.856420069969
328	2	6649.85643522989
973	2	6649.856436975333
701	2	6649.8564399846255
367	2	6649.856440682961
338	2	6649.856462760566
624	2	6649.856469229006
754	2	6649.856476171548
573	2	6649.856493098587
621	2	6649.856499114504
543	2	6649.856517488703
762	2	6649.856524302825
678	2	6649.856583692898
688	2	6649.8566023890535
513	2	6649.856678675022
147	2	6649.8567287515025
419	2	6649.856743602431
446	2	6649.8567767628065
267	2	6649.856849250627
429	2	6649.856852486105
874	2	6649.856863607841
